,season,team,name,role,age,batting,bowling
26,2021/2022,Karachi Kings,Imad Wasim,Allrounder,32y 359d,Left hand Bat,Slow Left arm Orthodox
27,2021/2022,Karachi Kings,Tom Lammonby,Batting Allrounder,21y 193d,Left hand Bat,Left arm Medium fast
28,2021/2022,Karachi Kings,Mohammad Amir,Bowler,29y 243d,Left hand Bat,Left arm Fast medium
29,2021/2022,Karachi Kings,Mohammad Ilyas,Bowler,22y 266d,Right hand Bat,Right arm Medium fast
30,2021/2022,Karachi Kings,Mohammad Imran,Bowler,20y 326d,Right hand Bat,Left arm Medium fast
31,2021/2022,Karachi Kings,Mohammad Nabi,Allrounder,36y 345d,Right hand Bat,Right arm Offbreak
32,2021/2022,Karachi Kings,Mohammad Taha,Allrounder,21y 216d,Left hand Bat,Slow Left arm Orthodox
33,2021/2022,Karachi Kings,Qasim Akram,Allrounder,19y 11d,Right hand Bat,Right arm Offbreak
34,2021/2022,Karachi Kings,Rohail Nazir†,Wicketkeeper Batter,20y 63d,Right hand Bat,
35,2021/2022,Karachi Kings,Sahibzada Farhan,Middle order Batter,25y 281d,Right hand Bat,
36,2021/2022,Karachi Kings,Sharjeel Khan,Opening Batter,32y 120d,Left hand Bat,Legbreak
37,2021/2022,Karachi Kings,Talha Ahsan,,18y 51d,Right hand Bat,Legbreak
38,2021/2022,Karachi Kings,Jordan Thompson,Bowling Allrounder,25y 64d,Left hand Bat,Right arm Medium fast
39,2021/2022,Karachi Kings,Umaid Asif,Bowling Allrounder,37y 226d,Right hand Bat,Right arm Medium fast
40,2021/2022,Karachi Kings,Tom Abell,Batting Allrounder,27y 282d,Right hand Bat,Right arm Medium
41,2021/2022,Karachi Kings,Faisal Akram,Bowler,18y 114d,Left hand Bat,Left arm Wrist spin
42,2021/2022,Karachi Kings,Chris Jordan,Bowler,33y 69d,Right hand Bat,Right arm Fast medium
43,2021/2022,Karachi Kings,Romario Shepherd,Bowling Allrounder,27y 16d,Right hand Bat,Right arm Fast medium
44,2021/2022,Lahore Qalandars,Shaheen Shah Afridi(c),Bowler,21y 250d,Left hand Bat,Left arm Fast
45,2021/2022,Lahore Qalandars,Abdullah Shafique,Top order Batter,22y 22d,Right hand Bat,Right arm Offbreak
46,2021/2022,Lahore Qalandars,Ahmed Daniyal,Bowler,24y 162d,Right hand Bat,Right arm Medium fast
47,2021/2022,Lahore Qalandars,Akif Javed,Bowler,21y 63d,Right hand Bat,Left arm Medium fast
48,2021/2022,Lahore Qalandars,Harry Brook,Batter,22y 293d,Right hand Bat,Right arm Medium
49,2021/2022,Lahore Qalandars,Ben Dunk†,Wicketkeeper Batter,34y 276d,Left hand Bat,Right arm Offbreak
50,2021/2022,Lahore Qalandars,Fakhar Zaman,Opening Batter,31y 246d,Left hand Bat,Slow Left arm Orthodox
51,2021/2022,Lahore Qalandars,Dean Foxcroft,Allrounder,23y 236d,Right hand Bat,Right arm Offbreak
52,2021/2022,Lahore Qalandars,Haris Rauf,Bowler,28y 35d,Right hand Bat,Right arm Fast
53,2021/2022,Lahore Qalandars,Kamran Ghulam,Allrounder,26y 63d,Right hand Bat,Slow Left arm Orthodox
54,2021/2022,Lahore Qalandars,Maaz Khan,Bowler,23y 302d,Right hand Bat,Legbreak Googly
55,2021/2022,Lahore Qalandars,Mohammad Hafeez,Allrounder,41y 56d,Right hand Bat,Right arm Offbreak
56,2021/2022,Lahore Qalandars,Mohammad Imran,Allrounder,24y 352d,Right hand Bat,Right arm Medium
57,2021/2022,Lahore Qalandars,Samit Patel,Allrounder,37y 12d,Right hand Bat,Slow Left arm Orthodox
58,2021/2022,Lahore Qalandars,Matthew Potts,Bowler,23y 44d,Right hand Bat,Right arm Fast medium
59,2021/2022,Lahore Qalandars,Rashid Khan,Bowling Allrounder,23y 83d,Right hand Bat,Legbreak Googly
60,2021/2022,Lahore Qalandars,Phil Salt†,Wicketkeeper Batter,25y 106d,Right hand Bat,Right arm Offbreak
61,2021/2022,Lahore Qalandars,Sohail Akhtar,Allrounder,35y 285d,Right hand Bat,Right arm Medium
62,2021/2022,Lahore Qalandars,Syed Faridoun,Bowler,20y 211d,Right hand Bat,Left arm Wrist spin
63,2021/2022,Lahore Qalandars,David Wiese,Allrounder,36y 208d,Right hand Bat,Right arm Medium fast
64,2021/2022,Lahore Qalandars,Zaman Khan,Bowler,20y 93d,Right hand Bat,Right arm Fast
65,2021/2022,Lahore Qalandars,Zeeshan Ashraf†,Wicketkeeper Batter,29y 215d,Left hand Bat,Right arm Offbreak
66,2021/2022,Peshawar Zalmi,Wahab Riaz(c),Bowler,36y 167d,Right hand Bat,Left arm Fast
67,2021/2022,Peshawar Zalmi,Arish Ali Khan,Bowler,20y 357d,Right hand Bat,Slow Left arm Orthodox
68,2021/2022,Peshawar Zalmi,Arshad Iqbal,Bowler,20y 351d,Right hand Bat,Right arm Medium fast
69,2021/2022,Peshawar Zalmi,Pat Brown,Bowler,23y 111d,Right hand Bat,Right arm Fast medium
70,2021/2022,Peshawar Zalmi,Ben Cutting,Allrounder,34y 316d,Right hand Bat,Right arm Fast medium
71,2021/2022,Peshawar Zalmi,Haider Ali,Middle order Batter,21y 71d,Right hand Bat,
72,2021/2022,Peshawar Zalmi,Hazratullah Zazai,Opening Batter,23y 264d,Left hand Bat,Slow Left arm Orthodox
73,2021/2022,Peshawar Zalmi,Hussain Talat,Allrounder,25y 303d,Left hand Bat,Right arm Medium fast
74,2021/2022,Peshawar Zalmi,Kamran Akmal†,Wicketkeeper Batter,39y 333d,Right hand Bat,
75,2021/2022,Peshawar Zalmi,Tom Kohler-Cadmore,Batter,27y 115d,Right hand Bat,Right arm Offbreak
76,2021/2022,Peshawar Zalmi,Liam Livingstone,Batting Allrounder,28y 130d,Right hand Bat,Legbreak
77,2021/2022,Peshawar Zalmi,Saqib Mahmood,Bowler,24y 290d,Right hand Bat,Right arm Fast medium
78,2021/2022,Peshawar Zalmi,Mohammad Haris,Middle order Batter,20y 257d,Right hand Bat,Right arm Offbreak
79,2021/2022,Peshawar Zalmi,Mohammad Umar,Bowler,21y 350d,Right hand Bat,Right arm Medium
80,2021/2022,Peshawar Zalmi,Matt Parkinson,Bowler,25y 49d,Right hand Bat,Legbreak
81,2021/2022,Peshawar Zalmi,Sherfane Rutherford,Middle order Batter,23y 119d,Left hand Bat,Right arm Fast medium
82,2021/2022,Peshawar Zalmi,Salman Irshad,Bowler,26y 9d,Right hand Bat,Right arm Fast medium
83,2021/2022,Peshawar Zalmi,Sameen Gul,Bowler,22y 311d,Right hand Bat,Right arm Medium
84,2021/2022,Peshawar Zalmi,Shoaib Malik,Allrounder,39y 314d,Right hand Bat,Right arm Offbreak
85,2021/2022,Peshawar Zalmi,Sirajuddin,Bowler,Batting: Right hand Bat,,
86,2021/2022,Peshawar Zalmi,Sohail Khan,Bowler,37y 281d,Right hand Bat,Right arm Fast medium
87,2021/2022,Peshawar Zalmi,Usman Qadir,Bowler,28y 124d,Left hand Bat,Legbreak
88,2021/2022,Peshawar Zalmi,Mohammad Amir Khan,Bowler,20y 94d,Right hand Bat,Right arm Medium
89,2021/2022,Quetta Gladiators,Sarfaraz Ahmed† (c),Wicketkeeper Batter,34y 204d,Right hand Bat,Right arm Offbreak
90,2021/2022,Quetta Gladiators,Abdul Bangalzai,Batter,18y 283d,Right hand Bat,
91,2021/2022,Quetta Gladiators,Ahsan Ali,Top order Batter,28y 2d,Right hand Bat,Legbreak
92,2021/2022,Quetta Gladiators,Ali Imran,Batting Allrounder,23y 290d,Right hand Bat,Right arm Medium
93,2021/2022,Quetta Gladiators,Ashir Qureshi,Bowler,20y 122d,Right hand Bat,Legbreak Googly
94,2021/2022,Quetta Gladiators,Ben Duckett,Top order Batter,27y 56d,Left hand Bat,Right arm Offbreak
95,2021/2022,Quetta Gladiators,James Faulkner,Bowling Allrounder,31y 227d,Right hand Bat,Left arm Fast medium
96,2021/2022,Quetta Gladiators,Ghulam Mudassar,Bowler,22y 49d,Right hand Bat,Left arm Fast medium
97,2021/2022,Quetta Gladiators,Shimron Hetmyer,Top order Batter,24y 351d,Left hand Bat,
98,2021/2022,Quetta Gladiators,Iftikhar Ahmed,Middle order Batter,31y 100d,Right hand Bat,Right arm Offbreak
99,2021/2022,Quetta Gladiators,Khurram Shahzad,Bowler,28y 78d,Right hand Bat,Right arm Medium fast
100,2021/2022,Quetta Gladiators,Dan Lawrence,Middle order Batter,24y 153d,Right hand Bat,Right arm Offbreak
101,2021/2022,Quetta Gladiators,Mohammad Hasnain,Bowler,21y 251d,Right hand Bat,Right arm Fast
102,2021/2022,Quetta Gladiators,Mohammad Nawaz,Allrounder,27y 266d,Left hand Bat,Slow Left arm Orthodox
103,2021/2022,Quetta Gladiators,Naseem Shah,Bowler,18y 300d,Right hand Bat,Right arm Fast
104,2021/2022,Quetta Gladiators,Noor Ahmad,Bowler,16y 343d,Right hand Bat,Left arm Wrist spin
105,2021/2022,Quetta Gladiators,Jason Roy,Opening Batter,31y 144d,Right hand Bat,
106,2021/2022,Quetta Gladiators,Shahid Afridi,Allrounder,41y 286d,Right hand Bat,Legbreak Googly
107,2021/2022,Quetta Gladiators,Will Smeed,Batter,20y 47d,Right hand Bat,Right arm Offbreak
108,2021/2022,Quetta Gladiators,Sohail Tanvir,Bowler,37y ,Left hand Bat,Left arm Medium fast
109,2021/2022,Quetta Gladiators,Umar Akmal,Middle order Batter,31y 200d,Right hand Bat,Right arm Offbreak
110,2021/2022,Quetta Gladiators,James Vince,Batter,30y 273d,Right hand Bat,Right arm Medium
111,2021/2022,Quetta Gladiators,Luke Wood,Bowling Allrounder,26y 132d,Left hand Bat,Left arm Fast medium
112,2021/2022,Quetta Gladiators,Naveen-ul-Haq,Bowler,22y 80d,Right hand Bat,Right arm Medium fast
113,2021/2022,Multan Sultans,Mohammad Rizwan† (c),Wicketkeeper Batter,29y 194d,Right hand Bat,
114,2021/2022,Multan Sultans,Aamer Azmat,,21y 16d,Right hand Bat,Right arm Offbreak
115,2021/2022,Multan Sultans,Abbas Afridi,Bowler,20y 251d,Right hand Bat,Right arm Medium fast
116,2021/2022,Multan Sultans,Anwar Ali,Bowler,34y 17d,Right hand Bat,Right arm Medium fast
117,2021/2022,Multan Sultans,Asif Afridi,Bowling Allrounder,34y 352d,Left hand Bat,Slow Left arm Orthodox
118,2021/2022,Multan Sultans,Johnson Charles†,Wicketkeeper Batter,32y 332d,Right hand Bat,
119,2021/2022,Multan Sultans,Tim David,Middle order Batter,25y 271d,Right hand Bat,Right arm Offbreak
120,2021/2022,Multan Sultans,Dominic Drakes,Bowling Allrounder,23y 309d,Left hand Bat,Left arm Medium fast
121,2021/2022,Multan Sultans,Ihsanullah,Bowler,19y 62d,Right hand Bat,Right arm Fast
122,2021/2022,Multan Sultans,Imran Khan,Bowler,34y 150d,Right hand Bat,Right arm Medium fast
123,2021/2022,Multan Sultans,Imran Tahir,Bowler,42y 260d,Right hand Bat,Legbreak Googly
124,2021/2022,Multan Sultans,Khushdil Shah,Middle order Batter,26y 308d,Left hand Bat,Slow Left arm Orthodox
125,2021/2022,Multan Sultans,Blessing Muzarabani,Bowler,25y 71d,Right hand Bat,Right arm Fast medium
126,2021/2022,Multan Sultans,Rovman Powell,Middle order Batter,28y 142d,Right hand Bat,Right arm Medium fast
127,2021/2022,Multan Sultans,Rizwan Hussain,Batter,25y 230d,Left hand Bat,
128,2021/2022,Multan Sultans,Rilee Rossouw,Top order Batter,32y 64d,Left hand Bat,Right arm Offbreak
129,2021/2022,Multan Sultans,Rumman Raees,Bowler,30y 55d,Right hand Bat,Left arm Medium fast
130,2021/2022,Multan Sultans,Shahnawaz Dahani,Bowler,23y 129d,Right hand Bat,Right arm Fast medium
131,2021/2022,Multan Sultans,Shan Masood,Opening Batter,32y 59d,Left hand Bat,Right arm Medium fast
132,2021/2022,Multan Sultans,Sohaib Maqsood,Middle order Batter,34y 241d,Right hand Bat,Right arm Offbreak
133,2021/2022,Multan Sultans,David Willey,Bowling Allrounder,31y 287d,Left hand Bat,Left arm Fast medium
134,2021/2022,Multan Sultans,Odean Smith,Bowling Allrounder,25y 41d,Right hand Bat,Right arm Fast medium
