,name,matches,innings,not_out,runs,high_score,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,season,team
81,SR Patel,4,2,1,34,26*,34.00,31,109.67,0,0,0,2,1,2020/2021,Lahore Qalandars
82,NLTC Perera,3,3,0,37,37,12.33,21,176.19,0,0,2,4,3,2020/2021,Karachi Kings
83,R Powell,8,7,3,87,43*,21.75,62,140.32,0,0,1,6,6,2020/2021,Peshawar Zalmi
84,Qais Ahmad,2,2,1,18,16,18.00,16,112.50,0,0,0,1,1,2020/2021,Quetta Gladiators
85,Qasim Akram,1,1,0,10,10,10.00,3,333.33,0,0,0,1,1,2020/2021,Karachi Kings
86,Rahmanullah Gurbaz,1,1,0,3,3,3.00,4,75.00,0,0,0,0,0,2020/2021,Multan Sultans
87,Rashid Khan,8,7,3,75,27*,18.75,55,136.36,0,0,0,8,2,2020/2021,Lahore Qalandars
88,Rohail Nazir,4,3,0,43,34,14.33,36,119.44,0,0,0,6,1,2020/2021,Islamabad United
89,RR Rossouw,12,12,3,177,50,19.66,112,158.03,0,1,1,20,7,2020/2021,Multan Sultans
90,AD Russell,1,1,0,13,13,13.00,6,216.66,0,0,0,0,2,2020/2021,Quetta Gladiators
91,SE Rutherford,13,12,4,276,56,34.50,180,153.33,0,1,0,16,21,2020/2021,Peshawar Zalmi
92,Saim Ayub,7,7,0,114,35,16.28,105,108.57,0,0,0,14,3,2020/2021,Quetta Gladiators
93,Salman Mirza,2,-,-,-,-,-,-,-,-,-,-,-,-,2020/2021,Lahore Qalandars
94,PD Salt,3,3,0,22,13,7.33,25,88.00,0,0,1,3,0,2020/2021,Islamabad United
95,Sameen Gul,3,1,1,7,7*,-,11,63.63,0,0,0,1,0,2020/2021,Peshawar Zalmi
96,Sarfaraz Ahmed,10,10,3,321,81,45.85,233,137.76,0,3,0,35,7,2020/2021,Quetta Gladiators
97,Shadab Khan,11,9,0,94,35,10.44,90,104.44,0,0,2,11,1,2020/2021,Islamabad United
98,Shaheen Shah Afridi,10,6,3,17,12,5.66,13,130.76,0,0,1,1,1,2020/2021,Lahore Qalandars
99,Shahid Afridi,4,2,0,3,3,1.50,6,50.00,0,0,1,0,0,2020/2021,Multan Sultans
100,Shahnawaz Dahani,11,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,2020/2021,Multan Sultans
101,Shan Masood,7,7,0,209,73,29.85,147,142.17,0,2,1,25,7,2020/2021,Multan Sultans
102,Sharjeel Khan,11,11,0,338,105,30.72,228,148.24,1,1,1,31,23,2020/2021,Karachi Kings
103,Shoaib Malik,13,13,3,354,73,35.40,237,149.36,0,2,2,29,17,2020/2021,Peshawar Zalmi
104,Sohaibullah,1,-,-,-,-,-,-,-,-,-,-,-,-,2020/2021,Multan Sultans
105,Sohaib Maqsood,12,12,3,428,65*,47.55,273,156.77,0,5,0,39,22,2020/2021,Multan Sultans
106,Sohail Akhtar,10,10,0,149,40,14.90,136,109.55,0,0,2,22,2,2020/2021,Lahore Qalandars
107,Sohail Khan,5,2,0,16,8,8.00,14,114.28,0,0,0,1,1,2020/2021,Multan Sultans
108,Sohail Tanvir,8,5,4,58,26*,58.00,39,148.71,0,0,0,5,2,2020/2021,Multan Sultans
109,DW Steyn,3,2,2,0,0*,-,2,0.00,0,0,0,0,0,2020/2021,Quetta Gladiators
110,PR Stirling,2,2,0,57,56,28.50,35,162.85,0,1,0,8,2,2020/2021,Islamabad United
111,Umaid Asif,9,3,3,47,23*,-,22,213.63,0,0,0,3,4,2020/2021,Peshawar Zalmi
112,Umar Amin,1,1,0,13,13,13.00,15,86.66,0,0,0,1,0,2020/2021,Islamabad United
113,Usman Khan,6,6,0,150,81,25.00,123,121.95,0,1,1,16,5,2020/2021,Quetta Gladiators
114,Usman Qadir,4,1,0,4,4,4.00,5,80.00,0,0,0,1,0,2020/2021,Multan Sultans
115,Usman Shinwari,5,2,0,7,7,3.50,10,70.00,0,0,1,1,0,2020/2021,Quetta Gladiators
116,JM Vince,5,5,0,174,84,34.80,128,135.93,0,1,0,20,5,2020/2021,Multan Sultans
117,Wahab Riaz,12,6,3,66,28*,22.00,36,183.33,0,0,1,3,5,2020/2021,Peshawar Zalmi
118,CAK Walton,6,6,2,89,35,22.25,67,132.83,0,0,1,6,4,2020/2021,Karachi Kings
