Player_bowling_id,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,Season_Id,Team_Id,Name,Player_Id
600,10,4,13,0,76,0,NULL,NULL,5.84,NULL,0,0,1,0,4,1,"Shoaib Malik",17
601,10,9,32,0,250,7,44999,35.71,7.65,28,0,0,2,0,3,1,"Sohail Tanvir",30
602,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,7,5,"Sarfaraz Ahmed",68
603,3,3,11,0,95,5,44970,19,8.63,13.2,0,0,0,0,6,3,"Sameen Gul",159
604,10,9,30,1,230,14,45029,16.42,7.54,13,1,0,3,0,5,1,"Sohail Tanvir",30
605,3,2,6,1,32,3,44980,10.66,5.33,12,0,0,2,0,4,6,"Sikandar Raza",186
606,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,3,3,"Tamim Iqbal",65
607,9,8,32,0,207,19,45074,10.89,6.46,10.1,2,1,5,0,7,4,"Shadab Khan",91
608,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,6,5,"Sarfaraz Ahmed",68
609,4,4,11,1,84,2,44944,42,7.63,33,0,0,0,0,5,4,"Dale Steyn",230
610,5,1,0,0,6,0,NULL,NULL,18,NULL,0,0,1,0,4,5,"Dwayne Smith",92
611,12,12,46,0,323,13,45039,24.84,7.02,21.2,1,0,2,0,3,3,"Umaid Asif",161
612,13,13,52,0,394,20,45015,19.7,7.57,15.6,0,0,7,0,7,2,"Shaheen Shah",151
613,11,11,39,0,325,9,44971,36.11,8.33,26,0,0,3,0,6,4,"Shadab Khan",91
614,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,2,"Tamim Iqbal",65
615,5,1,1,0,8,0,NULL,NULL,8,NULL,0,0,1,0,4,3,"Sohaib Maqsood",43
616,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,3,2,"Umar Akmal",44
617,3,3,11,0,119,3,44984,39.66,10.81,22,0,0,0,0,7,5,"Shahid Afridi",62
618,10,10,40,1,292,16,44999,18.25,7.3,15,0,0,3,0,6,2,"Shaheen Shah",151
619,7,7,25,0,193,8,44975,24.12,7.72,18.7,0,0,2,0,5,6,"Umaid Asif",161
620,10,1,0,0,0,0,NULL,NULL,0,NULL,0,0,2,0,4,2,"Sohail Akhtar",152
621,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,3,5,"Umar Amin",15
622,11,11,36,0,336,17,45004,19.76,9.33,12.7,0,0,7,0,7,1,"Shahnawaz Dahani",319
623,4,4,15,0,135,2,44981,67.5,9,45,0,0,2,0,6,1,"Shahid Afridi",62
624,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,5,3,"Umar Amin",15
625,5,5,18,0,192,2,20852,96,10.66,54,0,0,1,0,4,6,"Sohail Khan",29
626,2,2,8,0,50,8,45101,6.25,6.25,6,0,1,0,0,3,1,"Umar Gul",80
627,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,7,1,"Shan Masood",224
628,11,11,40,1,340,20,45021,17,8.42,12.1,2,0,2,0,6,1,"Shahnawaz Dahani",319
629,6,5,17,0,155,4,44948,38.75,9.11,25.5,0,0,0,0,5,6,"Umer Khan",188
630,12,12,47,1,326,15,45037,21.73,6.93,18.8,1,0,5,0,4,5,"Sohail Tanvir",30
631,2,2,5,0,63,0,NULL,NULL,12.6,NULL,0,0,0,0,3,6,"Usama Mir",31
632,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,7,6,"Sharjeel Khan",14
633,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,6,1,"Shan Masood",224
634,3,3,8,0,71,0,NULL,NULL,8.87,NULL,0,0,3,0,5,6,"Usama Mir",31
635,2,2,8,0,62,0,NULL,NULL,7.75,NULL,0,0,1,0,4,6,"Aaron Summers",187
636,10,9,32,0,258,16,45033,16.12,8.02,12,1,0,2,0,3,6,"Usman Shinwari",104
637,11,7,11,0,72,3,44928,24,6.54,22,0,0,5,0,7,3,"Shoaib Malik",17
638,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,6,6,"Sharjeel Khan",14
639,1,1,4,0,24,1,44950,24,6,24,0,0,0,0,5,1,"Usman Qadir",114
640,2,2,8,0,73,3,17930,24.33,9.12,16,0,0,2,0,3,1,"Hardus Viljoen",201
641,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,7,5,"Will Smeed",346
642,13,5,9,0,71,1,44940,71,7.88,54,0,0,6,0,6,3,"Shoaib Malik",17
643,4,4,13,0,147,0,NULL,NULL,11.45,NULL,0,0,0,0,5,2,"Usman Shinwari",104
644,13,13,50,0,344,18,45015,19.11,6.9,16.6,0,0,4,0,3,3,"Wahab Riaz",66
645,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,7,1,"Sohaib Maqsood",43
646,1,1,3,0,26,0,NULL,NULL,8.66,NULL,0,0,0,0,6,1,"Sohaibullah ",320
647,8,8,30,0,264,7,44949,37.71,8.8,25.7,0,0,1,0,4,3,"Umaid Asif",161
648,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,3,4,"Chadwick Walton",138
649,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,7,2,"Sohail Akhtar",152
650,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,6,1,"Sohaib Maqsood",43
651,1,1,2,0,23,0,NULL,NULL,11.5,NULL,0,0,1,0,5,3,"Hardus Viljoen",201
652,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4,2,"Umair Masood",200
653,10,10,36,0,276,11,45007,25.09,7.66,19.6,0,0,2,0,3,5,"shane Watson",16
654,2,2,7,0,96,0,NULL,NULL,13.71,NULL,0,0,0,0,7,3,"Sohail Khan",29
655,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,6,2,"Sohail Akhtar",152
656,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,5,1,"James Vince",32
657,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,5,"Umar Akmal",44
658,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3,3,"Riki Wessels",162
659,7,7,26,0,258,2,47150,129,9.92,78,0,0,2,0,7,5,"Sohail Tanvir",30
660,5,5,20,0,174,2,12055,87,8.77,59.5,0,0,0,0,6,1,"Sohail Khan",29
661,10,10,36,0,292,11,45006,26.54,8.14,19.5,0,0,2,0,5,3,"Wahab Riaz",66
662,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,3,"Umar Amin",15
663,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,7,4,"Paul Stirling",274
664,8,8,29,0,240,5,45002,48,8.27,34.8,0,0,3,0,6,1,"Sohail Tanvir",30
665,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,0,5,6,"Chadwick Walton",138
666,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1,4,1,"Umar Siddiq",225
667,1,1,3,0,33,0,NULL,NULL,11,NULL,0,0,0,0,3,6,"David Wiese",143
668,2,1,2,0,22,1,44948,22,11,12,0,0,0,0,7,6,"Jordan Thompson",331
669,3,3,10,0,98,4,16103,24.5,9.18,16,0,0,0,0,6,5,"Dale Steyn",230
670,3,3,12,0,63,6,44975,10.5,5.25,12,0,0,1,0,5,6,"Waqas Maqsood",177
671,11,10,34,0,242,15,45007,16.13,7.11,13.6,0,0,3,0,4,6,"Umer Khan",188
672,10,10,38,0,275,11,45005,25,7.23,20.7,0,0,0,0,3,2,"Yasir Shah",45
