Player_batting_id,Player_Id,Name,matches,innings,not_out,runs,high_score,high_score_return,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,Season_Id,Team_Id,high_score_description
181,59,"Mohammad Hafeez",10,10,2,271,73,Yes,33.87,196,138.26,0,2,0,22,14,6,2,NULL
182,211,"Mohammad Hasnain",9,4,2,5,4,No,2.5,11,45.45,0,0,1,1,0,6,5,NULL
183,218,"Mohammad Ilyas",5,3,2,9,4,Yes,9,9,100,0,0,0,0,0,6,6,NULL
184,198,"Mohammad Imran",11,2,1,1,1,Yes,1,3,33.33,0,0,1,0,0,6,3,NULL
185,10,"Mohammad Irfan",10,1,1,0,0,Yes,NULL,5,0,0,0,0,0,0,6,3,NULL
186,76,"Mohammad Nabi",5,5,2,174,67,No,58,97,179.38,0,2,0,16,11,6,6,NULL
187,77,"Mohammad Nawaz",9,9,2,109,33,Yes,15.57,88,123.86,0,0,1,9,4,6,5,NULL
188,312,"Mohammad Rizwan",12,12,1,500,82,Yes,45.45,391,127.87,0,4,1,56,10,6,1,NULL
189,315,"Mohammad Umar",2,1,0,0,0,No,0,1,0,0,0,1,0,0,6,1,NULL
190,270,"Mohammad Wasim",11,6,4,45,17,Yes,22.5,30,150,0,0,0,2,4,6,4,NULL
191,271,"Muhammad Akhlaq",5,4,0,44,26,No,11,31,141.93,0,0,0,6,2,6,4,NULL
192,239,"Muhammad Faizan",2,2,0,17,9,No,8.5,33,51.51,0,0,0,1,0,6,2,NULL
193,172,"Muhammad Musa",3,1,1,0,0,Yes,NULL,0,NULL,0,0,0,0,0,6,4,NULL
194,304,"Mujeeb Ur",4,1,1,0,0,Yes,NULL,0,NULL,0,0,0,0,0,6,3,NULL
195,185,"Colin Munro",7,7,2,285,90,Yes,57,168,169.64,0,2,1,37,11,6,4,NULL
196,317,"Blessing Muzarabani",6,2,0,0,0,No,0,5,0,0,0,2,0,0,6,1,NULL
197,280,"Najibullah Zadran",5,5,1,111,71,Yes,27.75,89,124.71,0,1,1,6,6,6,6,NULL
198,212,"Naseem Shah",4,1,1,1,1,Yes,NULL,4,25,0,0,0,0,0,6,5,NULL
199,281,"Noor Ahmad",4,1,1,0,0,Yes,NULL,0,NULL,0,0,0,0,0,6,6,NULL
200,121,"Samit Patel",4,2,1,34,26,Yes,34,31,109.67,0,0,0,2,1,6,2,NULL
201,129,"Thisara Perera",3,3,0,37,37,No,12.33,21,176.19,0,0,2,4,3,6,6,NULL
202,301,"Rovman Powell",8,7,3,87,43,Yes,21.75,62,140.32,0,0,1,6,6,6,3,NULL
203,222,"Qais Ahmad",2,2,1,18,16,No,18,16,112.5,0,0,0,1,1,6,5,NULL
204,282,"Qasim Akram",1,1,0,10,10,No,10,3,333.33,0,0,0,1,1,6,6,NULL
205,318,"Rahmanullah Gurbaz",1,1,0,3,3,No,3,4,75,0,0,0,0,0,6,1,NULL
206,167,"Rashid Khan",8,7,3,75,27,Yes,18.75,55,136.36,0,0,0,8,2,6,2,NULL
207,135,"Rohail Nazir",4,3,0,43,34,No,14.33,36,119.44,0,0,0,6,1,6,4,NULL
208,130,"Rilee Rossouw",12,12,3,177,50,No,19.66,112,158.03,0,1,1,20,7,6,1,NULL
209,13,"Andre Russell",1,1,0,13,13,No,13,6,216.66,0,0,0,0,2,6,5,NULL
210,234,"Sherfane Rutherford",13,12,4,276,56,No,34.5,180,153.33,0,1,0,16,21,6,3,NULL
211,306,"Saim Ayub",7,7,0,114,35,No,16.28,105,108.57,0,0,0,14,3,6,5,NULL
212,296,"Salman Mirza",2,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,2,NULL
213,159,"Sameen Gul",3,1,1,7,7,Yes,NULL,11,63.63,0,0,0,1,0,6,3,NULL
214,20,"Iftikhar Ahmed",10,10,3,321,81,No,45.85,233,137.76,0,3,0,35,7,6,5,NULL
215,91,"Shadab Khan",11,9,0,94,35,No,10.44,90,104.44,0,0,2,11,1,6,4,NULL
216,151,"Shaheen Shah",10,6,3,17,12,No,5.66,13,130.76,0,0,1,1,1,6,2,NULL
217,62,"Shahid Afridi",4,2,0,3,3,No,1.5,6,50,0,0,1,0,0,6,1,NULL
218,319,"Shahnawaz Dahani",11,2,1,0,0,Yes,0,1,0,0,0,1,0,0,6,1,NULL
219,224,"Shan Masood",7,7,0,209,73,No,29.85,147,142.17,0,2,1,25,7,6,1,NULL
220,14,"Sharjeel Khan",11,11,0,338,105,No,30.72,228,148.24,1,1,1,31,23,6,6,NULL
221,17,"Shoaib Malik",13,13,3,354,73,No,35.4,237,149.36,0,2,2,29,17,6,3,NULL
222,320,"Sohaibullah ",1,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,1,NULL
223,43,"Sohaib Maqsood",12,12,3,428,65,Yes,47.55,273,156.77,0,5,0,39,22,6,1,NULL
224,152,"Sohail Akhtar",10,10,0,149,40,No,14.9,136,109.55,0,0,2,22,2,6,2,NULL
225,29,"Sohail Khan",5,2,0,16,8,No,8,14,114.28,0,0,0,1,1,6,1,NULL
226,30,"Sohail Tanvir",8,5,4,58,26,Yes,58,39,148.71,0,0,0,5,2,6,1,NULL
227,230,"Dale Steyn",3,2,2,0,0,Yes,NULL,2,0,0,0,0,0,0,6,5,NULL
228,274,"Paul Stirling",2,2,0,57,56,No,28.5,35,162.85,0,1,0,8,2,6,4,NULL
229,161,"Umaid Asif",9,3,3,47,23,Yes,NULL,22,213.63,0,0,0,3,4,6,3,NULL
230,15,"Umar Amin",1,1,0,13,13,No,13,15,86.66,0,0,0,1,0,6,4,NULL
231,307,"Usman Khan",6,6,0,150,81,No,25,123,121.95,0,1,1,16,5,6,5,NULL
232,114,"Usman Qadir",4,1,0,4,4,No,4,5,80,0,0,0,1,0,6,1,NULL
233,104,"Usman Shinwari",5,2,0,7,7,No,3.5,10,70,0,0,1,1,0,6,5,NULL
